V_fci V_hf C_fci C_hf b c E_dec E_bo K_en K_overlap
1.013681363321726828e-02 7.196492388486909822e-05 1.023965814104401371e-02 3.969420832328678615e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125446843746624292e+00 -2.125446843746624737e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013678685618734678e-02 7.194692574983927314e-05 1.023964290933656457e-02 3.969420633629975291e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125446847275523687e+00 -2.125446847275524132e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013665821007086326e-02 7.186057919169137268e-05 1.023979591409704404e-02 3.969421162047415304e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125446618279222211e+00 -2.125446618279223099e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013690009180556739e-02 7.202284191661075072e-05 1.023944131168037786e-02 3.969420670709942860e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125447119877308388e+00 -2.125447119877307944e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013692184538772349e-02 7.203744407673804372e-05 1.023946584584100629e-02 3.969420706078960470e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125447104184965408e+00 -2.125447104184965408e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013696688753001375e-02 7.206748468444229333e-05 1.023948719840281525e-02 3.969421309088054517e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125447102668818200e+00 -2.125447102668817312e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013688217260928087e-02 7.201081937932478990e-05 1.023948762065711796e-02 3.969420730544621738e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125447061200021359e+00 -2.125447061200021803e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013682528637645415e-02 7.197269238984417062e-05 1.023960021118783606e-02 3.969420634595082625e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125446912180893655e+00 -2.125446912180893655e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013681730042896231e-02 7.196734366717553880e-05 1.023963474176951827e-02 3.969420646485968471e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125446871091765999e+00 -2.125446871091765111e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013688877300146680e-02 7.201526423082773654e-05 1.023954066638055153e-02 3.969420674208677148e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125447007526407361e+00 -2.125447007526406473e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013678354003984088e-02 7.194469958940432534e-05 1.023963554150282909e-02 3.969420647361414020e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125446853536930192e+00 -2.125446853536930192e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013679876086296013e-02 7.195490878941426935e-05 1.023963480456609176e-02 3.969420632600776863e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125446861879104254e+00 -2.125446861879103366e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013693740882096010e-02 7.204787255133094867e-05 1.023940863059500696e-02 3.969420781790251873e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125447173248362187e+00 -2.125447173248362187e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013699268015196692e-02 7.208492197269883905e-05 1.023933508300300423e-02 3.969420765111574337e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125447279729468342e+00 -2.125447279729469230e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013680312869118770e-02 7.195783735058827041e-05 1.023963029136621544e-02 3.969420632338637595e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125446868891646357e+00 -2.125446868891647245e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013686120531837043e-02 7.199677971889183528e-05 1.023956316580636530e-02 3.969420645215085766e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125446969741159542e+00 -2.125446969741158210e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013661140977425990e-02 7.182932101875035263e-05 1.023983262280332013e-02 3.969420721199577035e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125446556333051795e+00 -2.125446556333053572e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013706257180498754e-02 7.213181965660776860e-05 1.023899157729640276e-02 3.969421195904727223e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125447682207652900e+00 -2.125447682207651567e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013704098266324065e-02 7.211734595475366905e-05 1.023931428040660008e-02 3.969420829007792514e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125447325762293449e+00 -2.125447325762292561e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.013670216204548905e-02 7.189016381838869555e-05 1.023983322928647723e-02 3.969420709918752670e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125446600664817609e+00 -2.125446600664820718e+00 2.400000000000000000e+01 5.000000000000000000e+00
