V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
1.143995140197234112e-02 1.220275084727281446e-03 9.752722991682311049e-03 4.442305861969210110e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616058760059591037e-02 1.616058760059635446e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.143990280400408385e-02 1.220232907249705180e-03 9.752722975010957515e-03 4.442329304268245217e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616067637935669765e-02 1.616067637935669765e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.144028337009704924e-02 1.220594817230972757e-03 9.752722977948919889e-03 4.442505875203231307e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616096156059843025e-02 1.616096156059931843e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.143957832171898018e-02 1.219920332654912285e-03 9.752723013579897224e-03 4.442133150245781981e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616030910666577114e-02 1.616030910666577114e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.143991378025675104e-02 1.220243596518347283e-03 9.752722969494054608e-03 4.442337226286083816e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616069230696703940e-02 1.616069230696659531e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.143976922150639550e-02 1.220105915441907149e-03 9.752722973200837753e-03 4.442267758050794622e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616057745482812891e-02 1.616057745482768482e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.144000214702609389e-02 1.220325481612024535e-03 9.752723294359576245e-03 4.442354695922383877e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616069480442972051e-02 1.616069480442838824e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.143893854550779091e-02 1.219313305979598727e-03 9.752723274500980574e-03 4.441851830805655307e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.615987223942072504e-02 1.615987223942294548e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.143997049971159224e-02 1.220296724447226654e-03 9.752722963173910548e-03 4.442354308071246385e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616070965416138705e-02 1.616070965416138705e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.143995007723435167e-02 1.220277660010648428e-03 9.752722964366683858e-03 4.442348900031247924e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616070542700498436e-02 1.616070542700498436e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.143979890923657594e-02 1.220130536987293216e-03 9.752723009455158479e-03 4.442240464320219503e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616048789756874271e-02 1.616048789757007498e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.144022071886562943e-02 1.220535035501449893e-03 9.752722987699444929e-03 4.442474529935405529e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616090841905837294e-02 1.616090841905881703e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.144005535958125992e-02 1.220369897207437696e-03 9.752723087005234215e-03 4.442308222340199050e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616054070352790362e-02 1.616054070352923588e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.144012632921225306e-02 1.220446890212784812e-03 9.752722976940455743e-03 4.442449168742134205e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616088787395542070e-02 1.616088787395320026e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.144007848486565740e-02 1.220406462192717093e-03 9.752723086369999295e-03 4.442485020938131794e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616101023767013700e-02 1.616101023767058109e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.143984458139908449e-02 1.220176952690658900e-03 9.752723126221034960e-03 4.442296035547932745e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616061598431617341e-02 1.616061598431484114e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.143994562563616264e-02 1.220271741305587647e-03 9.752722964962691476e-03 4.442327628586623112e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616064979495446252e-02 1.616064979495224208e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.144000328245609217e-02 1.220327545660558404e-03 9.752722963789088595e-03 4.442365484540918875e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616072323612627315e-02 1.616072323612272044e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.143959959375207350e-02 1.219938352167600258e-03 9.752723549078788981e-03 4.442119272288702451e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616026112517721103e-02 1.616026112517676694e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.144000428694307014e-02 1.220329083919039718e-03 9.752722968859525721e-03 4.442372609696040170e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.616074213153195771e-02 1.616074213153151362e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
