V_fci V_hf C_fci C_hf b c E_dec E_bo K_en K_overlap
9.196514522180471163e-02 1.608713712197239187e-01 6.622582084299687144e-03 1.409935743100832611e-02 1.000015630370748365e+00 -1.902159571471288002e+00 -1.865398504202740781e+00 -1.869341763492584407e+00 2.600000000000000000e+01 1.000000000000000000e+01
3.453636604923676634e-02 9.118973644092673303e-02 5.517229765968838934e-03 6.057476494110671655e-03 9.997926208393855818e-01 -1.954880740141802464e+00 -1.865111326578432926e+00 -1.866499679813915735e+00 2.600000000000000000e+01 8.000000000000000000e+00
4.158767942096842224e-02 1.786452497101629483e-02 1.439426424438106783e-03 2.065306077534255751e-03 1.000014441754261796e+00 -1.991614999111434692e+00 -1.885213372253238484e+00 -1.885213372253240482e+00 2.900000000000000000e+01 7.000000000000000000e+00
4.191556431595222509e-02 1.570781876248531495e-01 9.481494162540366616e-03 1.433877945018814312e-02 1.000015079784069449e+00 -1.651668629822037548e+00 -1.845396916925808206e+00 -1.857041607752951462e+00 3.000000000000000000e+01 1.200000000000000000e+01
3.453330756241507205e-02 9.117496936922200867e-02 5.517228280110805967e-03 6.056769066779349453e-03 9.998453466896386477e-01 -1.954725917671080060e+00 -1.865110629260626540e+00 -1.866495949409031185e+00 2.600000000000000000e+01 8.000000000000000000e+00
4.191597338765062908e-02 1.570773695244091495e-01 9.481494520855148975e-03 1.433880195488467305e-02 1.000006465006528567e+00 -1.651755119029985508e+00 -1.845396916925808206e+00 -1.857043793953070177e+00 3.000000000000000000e+01 1.200000000000000000e+01
1.909558609711324406e+00 9.998446673784928684e-01 3.807346338268678340e-03 1.595122927874553787e-02 -9.999899699378039797e-01 -2.935522511136872689e-05 -1.844108440023506823e+00 -1.861360989460276727e+00 2.500000000000000000e+01 1.800000000000000000e+01
4.191621590709604384e-02 1.570768868173396116e-01 9.481494823940176536e-03 1.433946930743216532e-02 1.000104367694110152e+00 -1.651891383756743936e+00 -1.845396916925812203e+00 -1.857033022357285734e+00 3.000000000000000000e+01 1.200000000000000000e+01
4.191580136472305984e-02 1.570781201145722283e-01 9.481494350444232694e-03 1.433908981796409680e-02 1.000027777236541793e+00 -1.651686702693117015e+00 -1.845396916925812203e+00 -1.857035203829175751e+00 3.000000000000000000e+01 1.200000000000000000e+01
3.453430992091360840e-02 9.117922669531522417e-02 5.517228077660379752e-03 6.057223253649858530e-03 1.000176733522684991e+00 -1.955031445394047163e+00 -1.865110929822270114e+00 -1.866499079787874882e+00 2.600000000000000000e+01 8.000000000000000000e+00
9.794837374988252243e-02 1.620533886672610169e-01 9.129315352408705342e-03 1.749789132973980990e-02 1.000042769139295018e+00 -1.920120861240210530e+00 -1.845396916925811981e+00 -1.849001321758698024e+00 2.600000000000000000e+01 1.100000000000000000e+01
1.644316676137959343e-01 1.629148858822581647e-01 6.194093796667579470e-03 2.161324183520556275e-02 1.000011127113013432e+00 -1.959150850488940110e+00 -1.865197681609730651e+00 -1.871313055797969138e+00 2.600000000000000000e+01 6.000000000000000000e+00
3.453393765742396315e-02 9.117600019723599847e-02 5.517229288245038311e-03 6.057205781373383932e-03 1.000309509754221171e+00 -1.955108379305909638e+00 -1.865110612567476345e+00 -1.866500386882866014e+00 2.600000000000000000e+01 8.000000000000000000e+00
1.909557804882434873e+00 9.998441524349999110e-01 3.807345865628675684e-03 1.595108182489218124e-02 -1.000093394792998858e+00 7.009616973180692533e-05 -1.844108251035966983e+00 -1.861358661368601286e+00 2.500000000000000000e+01 1.800000000000000000e+01
1.909553982725496368e+00 9.998424760213387996e-01 3.807345305389204983e-03 1.595093831856200794e-02 -9.999813522415468281e-01 -5.363504722373654902e-05 -1.844108167335818838e+00 -1.861409965148741019e+00 2.500000000000000000e+01 1.700000000000000000e+01
3.453368929492922623e-02 9.117740190775169840e-02 5.517228827541034719e-03 6.056829701577098185e-03 9.995340222425894705e-01 -1.954429826277414461e+00 -1.865110839741385362e+00 -1.866495089805845886e+00 2.600000000000000000e+01 8.000000000000000000e+00
9.794721852056970102e-02 1.620528958885885107e-01 9.129315013561775660e-03 1.749791654103229413e-02 9.999936560734759006e-01 -1.920053831265446931e+00 -1.845396916925809094e+00 -1.849001102873555791e+00 2.600000000000000000e+01 1.100000000000000000e+01
4.191607965289734228e-02 1.570775902396127077e-01 9.481494380410827871e-03 1.433865806905869865e-02 1.000065017097921505e+00 -1.651778399907980033e+00 -1.845396916925864161e+00 -1.857042568691582130e+00 3.000000000000000000e+01 1.200000000000000000e+01
1.909534782687018595e+00 9.998340559841322195e-01 3.807350002814201273e-03 1.595025610350057563e-02 -1.000141894709285717e+00 2.073206652641048319e-04 -1.844107768547742054e+00 -1.861467578141223322e+00 2.500000000000000000e+01 1.800000000000000000e+01
1.909554185518968827e+00 9.998425791802759699e-01 3.807345293550403777e-03 1.595095642949229467e-02 -9.999354363928547595e-01 -6.280354579715921950e-05 -1.844108187223755024e+00 -1.861408851185015312e+00 2.500000000000000000e+01 1.700000000000000000e+01
