{'molpath': 'hamiltonians/H4_sto-3g_singlet_H4_linear_d2.5560.hdf5', 'initialguesses': 'x0_h4_linear_2.067_perturb_all_0.txt', 'verbose': True, 'reference': 'hf'}
7.822208433803827798e-01 1.461443635858706402e+00 -7.870410070136748537e-01 -1.263831003557600377e-02 3.066170909589560178e+00 7.080309044857107104e-01 2.523634532598147295e+00 7.845217153950085898e-01
1.560820818334505145e-01 -1.490773225923619216e-01 -7.710049812813859482e-01 -9.676737444335909988e-01 2.271629166437683089e+00 -2.266823381503755841e-01 2.480895354335000302e+00 7.854018136003400041e-01
-7.815682229541608406e-01 1.461545146135992734e+00 7.870742152479182074e-01 -1.645390239968632651e+00 -8.593707914322116226e-01 1.157628450109423612e-01 2.523660480851261934e+00 7.856393293560125501e-01
6.881208642232681250e-01 5.626823403364339393e-01 5.766169599891008968e-01 4.133342326237544606e-01 -7.079947907304460220e-01 7.854069267496656126e-01 4.090556959166693929e+00 -2.356246320557562335e+00
7.853996368032160058e-01 -5.043519128933293509e-03 4.764211935334087926e-03 1.570517683914693707e+00 -7.853836183266058590e-01 -6.753895963942885793e-03 3.757668148933619445e+00 3.926919981157076744e+00
6.880417885296216118e-01 5.626837474087625912e-01 5.765956318575202744e-01 4.133433714379000645e-01 -7.080009761548954339e-01 -7.854688814448751444e-01 2.192443496262486136e+00 7.852738091675040000e-01
-6.994656559320584499e-01 5.625725356251000120e-01 -5.801893317013260276e-01 8.458055839924178976e-01 -9.848473308882038646e-01 -2.266979691669466224e-01 2.480919969345420473e+00 7.856047426926670019e-01
7.865536035312444829e-01 1.461535195766296091e+00 -7.870455722938312082e-01 -8.314190197637891244e-03 -7.576348948045250054e-02 8.627003967100367321e-01 2.523659999536775445e+00 7.863582560055730752e-01
3.964092408044221028e+00 -1.569561570758083446e+00 2.356183196779964906e+00 -1.528223182561657401e-01 -1.570681687256920478e+00 1.157532734000424196e-01 3.757657321394042516e+00 -2.356190724415431426e+00
7.575851184216528811e-01 1.560982901556001279e+00 -7.853635369853438908e-01 1.542982888900106264e+00 -6.731578152646571812e-03 -6.752527714249861868e-03 2.525519212309008665e+00 7.854223243544453670e-01
-2.770530522889921965e+00 1.575255940038102098e+00 -7.854812137335043243e-01 1.156542865493839889e+00 2.723432398429628289e-03 5.712407548421059508e-03 2.525499512832827698e+00 7.854293251148470878e-01
2.453455768607371024e+00 -5.627005831257206880e-01 5.765844298388435041e-01 4.132287833870766924e-01 7.080407521736375998e-01 7.853164243565033953e-01 2.192595840072910196e+00 7.853979233472965227e-01
6.881487346320830367e-01 5.626798619173614124e-01 5.766089266386731360e-01 1.407563005304364401e+00 -2.574527989767709357e+00 -6.904140289148299470e-01 9.488845058183158487e-01 -2.356198084787052505e+00
6.749808127268587254e-01 5.592278795860611273e-01 5.850786111884271889e-01 3.543168425168319757e+00 -8.466993702758424112e-01 -1.673822215743109393e-05 -6.602553814623686179e-01 7.854002966176855116e-01
-1.560867494330134553e-01 2.992521770195092579e+00 -7.710244379549364702e-01 2.173918606082643201e+00 8.699729360335877182e-01 -1.797473620781161241e+00 2.480887668986834438e+00 7.853856664138535448e-01
4.335425699101387864e-01 -1.571555705635124145e+00 2.356124509468574324e+00 -1.572421573438286924e+00 1.573816458292436105e+00 1.217246452044192129e+00 2.525521767862945133e+00 7.856256673384595102e-01
1.560604211538811348e-01 -1.490520403329008980e-01 -7.709930482172694388e-01 7.776363756268814820e-01 -1.454077319321641359e-01 6.880548934074005585e-01 2.480860865127331394e+00 7.856137060521175552e-01
-8.652409766900696075e-01 -6.518991694415909866e-01 4.755255144047093596e-01 8.963843616193344077e-02 -5.988819718650769536e-02 -9.241598082240536360e-01 2.523659045409682111e+00 7.854285114049324168e-01
7.818845918852120880e-01 -5.455363572089524243e-02 5.326610419870716345e-02 -1.680181355179818814e+00 -7.885046439011403896e-01 -7.081359206367461301e-01 2.523662806841041828e+00 7.853502188029752862e-01
2.442161317386659647e+00 -5.625704089672004526e-01 5.801779680578766918e-01 -2.226741642042740388e+00 -1.245905537696748028e-01 2.144854790229666186e+00 2.480881381464996593e+00 7.853983187675805944e-01
8.838117795029559742e-01 -6.604233749226000594e-01 -4.671028501466985561e-01 4.615614691763386124e-01 -6.568325761064939261e-01 6.904071666315585443e-01 2.192700133323002731e+00 7.853790320823987869e-01
-2.595757368880209914e-01 -1.574077944998204748e+00 2.356032771227984934e+00 -2.096437387810725639e+00 -1.842708567807008853e-03 -5.952148778182991123e-03 3.757662235631001213e+00 -2.356963534662318782e+00
-1.570836904396839317e+00 -2.080110372691787619e-05 -9.068195163131285153e-01 9.067400719006790677e-01 7.854224139202287125e-01 3.254829253158708939e-05 2.466246310018505916e+00 7.853016656896485426e-01
-7.825939865365882930e-01 1.461518787523930607e+00 7.870542733351721942e-01 -1.646414534606761126e+00 -8.593933960028249386e-01 -3.025790301776444036e+00 2.523654341036688731e+00 7.853414762036294849e-01
-7.825463334198204945e-01 -1.680058789788362983e+00 -7.870605012831509706e-01 1.493997546830800660e+00 7.056597023481769870e-01 -1.670050837221398243e+00 2.523657497631316637e+00 7.853156910394895052e-01
7.127967948356415118e-01 5.788058107249902662e-01 5.641981319946218765e-01 -8.735920119483679691e-02 -6.304656535598462952e-02 -5.738366163770975970e-01 2.523675266049823840e+00 7.855835182870397615e-01
1.560859816434295722e-01 -1.490541130760678068e-01 -7.709891637724674007e-01 -6.745990408777794434e-01 6.794137151005932296e-01 1.874009865856747226e-01 2.480875300164588904e+00 7.853455819238269742e-01
1.427579895230767226e-01 -4.716401208461753036e+00 5.497802244602555177e+00 -8.910944898671745662e+00 -4.709868720237818884e+00 -6.697518761510244723e+00 6.899261747265518885e+00 -8.639146500423631636e+00
2.358921036936505455e+00 -1.461552342811734073e+00 -7.870092380525787190e-01 -1.218015310174601872e-02 7.552278277569245135e-02 7.081075087168593463e-01 2.523663122556494276e+00 7.850964692884826457e-01
7.638102585535715416e-01 1.571033054596130629e+00 -7.855626972076178438e-01 -2.513376480337621843e-01 -1.576051409164504147e+00 2.299045613254408205e-01 2.525521652535094752e+00 7.853591986250004764e-01
