E_FCI V_0 V_optimized Sum_CommSq_0 Sum_CommSq_Optimized a_opt b_opt c_opt
-1.871168059873308032e+00 7.128434742323772610e-01 2.374495384896593841e-02 2.892139661659742234e-01 1.117851132032464823e-03 1.000000000000000000e+00 9.999969212268668972e-01 -1.991830973588361475e+00
-1.871168059873308032e+00 7.768422307255384851e-01 2.502332149296343511e-02 2.304272053985740587e-01 1.918711787167299470e-03 1.000000000000000000e+00 9.999664343007864664e-01 -1.888901343119419929e+00
-1.871168059873308032e+00 4.807949776417022036e-01 2.374492109065766410e-02 4.282929103448707142e-02 1.117850875709724880e-03 1.000000000000000000e+00 9.998386252110184058e-01 -1.991648487862552663e+00
-1.871168059873308032e+00 8.913825135219261009e-01 1.982570575186924478e+00 3.620175996665848661e-01 5.618774134078167830e-04 1.000000000000000000e+00 -1.000228916601646478e+00 8.290322195726112597e-05
-1.871168059873308032e+00 1.013283388452513423e+00 1.982570874909348468e+00 3.853030393945187093e-01 5.618778277630063741e-04 1.000000000000000000e+00 -9.999347174133865757e-01 -2.740115362806625128e-04
-1.871168059873308032e+00 4.665114958061909456e-01 1.982570461913121473e+00 1.869549561269810978e-01 5.618784233326224592e-04 1.000000000000000000e+00 -1.000208447933102374e+00 -2.407821764924732643e-04
-1.871168059873308032e+00 3.791091265039880920e-01 4.517117381883675731e-02 1.227871749644209171e-01 1.953181452250213855e-03 1.000000000000000000e+00 1.000023780830943787e+00 -1.936871819583746435e+00
-1.871168059873308032e+00 3.066448267794680271e-01 2.374506479443668633e-02 1.213508207445316428e-01 1.117851059079251691e-03 1.000000000000000000e+00 1.000026840644508974e+00 -1.991866031653773517e+00
-1.871168059873308032e+00 1.669698895408361583e+00 4.184463786949790126e-02 5.932666722486170663e-01 3.026018976314138586e-04 1.000000000000000000e+00 9.994732510166773887e-01 -1.997688745783204212e+00
-1.871168059873308032e+00 3.976016459577941253e-01 2.374512145211263997e-02 1.478339933233221715e-01 1.117850819806320579e-03 1.000000000000000000e+00 1.000201405907849450e+00 -1.992048254790580897e+00
-1.871168059873308032e+00 4.042502133754285465e-01 2.374542629063536650e-02 1.171789628982507214e-01 1.117851553152220210e-03 1.000000000000000000e+00 9.996904423825723196e-01 -1.991566961848552086e+00
-1.871168059873308032e+00 1.038544852956090780e+00 8.508404408085074033e-02 3.315809038400309716e-01 1.313748381680926013e-03 1.000000000000000000e+00 1.000029860664122472e+00 -1.981176734664617634e+00
-1.871168059873308032e+00 9.815538979132406583e-01 1.982568300608915646e+00 4.180324941967261676e-01 5.618815501723863504e-04 1.000000000000000000e+00 -9.989202653478224114e-01 -1.695644840571227860e-04
-1.871168059873308032e+00 5.369910134398934165e-01 8.634872835603343844e-02 2.352695038034263164e-01 1.739536945382370988e-03 1.000000000000000000e+00 1.000023626537292154e+00 -1.983794063007278341e+00
-1.871168059873308032e+00 5.749414086994624196e-01 2.374513671802083031e-02 1.758001489247458249e-01 1.117850831600447669e-03 1.000000000000000000e+00 9.999896838613894223e-01 -1.991835584224076028e+00
-1.871168059873308032e+00 2.110954480593995708e+00 2.502511436750284868e-02 7.556354695866115412e-01 1.918711838811362194e-03 1.000000000000000000e+00 9.998901574406998671e-01 -1.889058459319348016e+00
-1.871168059873308032e+00 8.343681184455196131e-01 2.502431657388454189e-02 3.301144102594688601e-01 1.918711605127722698e-03 1.000000000000000000e+00 1.000021483661849286e+00 -1.889077556460137197e+00
-1.871168059873308032e+00 1.296560848658558252e+00 2.374505147938984345e-02 4.377988155717437713e-01 1.117850793663832665e-03 1.000000000000000000e+00 9.999689930769298796e-01 -1.991802568759690750e+00
-1.871168059873308032e+00 3.680585411815360253e-01 2.374507853028704624e-02 1.182934558465763564e-01 1.117851099843509329e-03 1.000000000000000000e+00 9.997559672581901591e-01 -1.991593006610780536e+00
-1.871168059873308032e+00 1.618059307801540836e+00 1.982569987942752743e+00 5.429189327006700427e-01 5.618785751837457147e-04 1.000000000000000000e+00 -1.000996934074642297e+00 2.055454049643120414e-04
-1.871168059873308032e+00 1.208257766940277200e+00 1.982569813661702263e+00 4.458612438315173732e-01 5.618779192781713947e-04 1.000000000000000000e+00 -9.993650791554501422e-01 -6.774948610247324716e-04
-1.871168059873308032e+00 2.060980118371677161e+00 4.184533431980617252e-02 7.843927428151118431e-01 3.025998762381069420e-04 1.000000000000000000e+00 9.998257859712152973e-01 -1.998054740569169541e+00
-1.871168059873308032e+00 4.804554443323371116e-01 8.508483063944952129e-02 1.229407247775168854e-01 1.313748376430624951e-03 1.000000000000000000e+00 1.000036309777814436e+00 -1.981211773757690864e+00
-1.871168059873308032e+00 1.250745991666032175e+00 2.374505047868218088e-02 4.649841168724503926e-01 1.117851183802235368e-03 1.000000000000000000e+00 9.997521511654169357e-01 -1.991558979371354399e+00
