E_FCI V_0 V_optimized Sum_CommSq_0 Sum_CommSq_Optimized a_opt b_opt c_opt
-1.871168059873308920e+00 7.128434742323928042e-01 4.148391122569307365e-02 2.892139661659738348e-01 4.514060775417099314e-04 1.000000000000000000e+00 1.000010772649253754e+00 -1.954296313063425439e+00
-1.871168059873308920e+00 7.768422307255664627e-01 4.148391277877315486e-02 2.304272053985859936e-01 4.514033213861582609e-04 1.000000000000000000e+00 1.000291757622948197e+00 -1.954584245729880543e+00
-1.871168059873308920e+00 4.807949776417264065e-01 4.148391186214406279e-02 4.282929103448849389e-02 4.511878653218737547e-04 1.000000000000000000e+00 9.999528578302003812e-01 -1.954268331457276631e+00
-1.871168059873308920e+00 8.913825135219388685e-01 5.051765873411162566e-03 3.620175996665817575e-01 1.708893476963992348e-03 1.000000000000000000e+00 9.999927794856446894e-01 -1.418656638882221044e+00
-1.871168059873308920e+00 1.013283388452530076e+00 4.148391098029347718e-02 3.853030393945136578e-01 4.515068342136682603e-04 1.000000000000000000e+00 1.000013852259797664e+00 -1.954283900176225997e+00
-1.871168059873308920e+00 4.665114958061641337e-01 5.051765873634206372e-03 1.869549561269841509e-01 1.708910187947725859e-03 1.000000000000000000e+00 9.999979463560838555e-01 -1.418717043004867007e+00
-1.871168059873308920e+00 3.791091265039205904e-01 5.051765878425956702e-03 1.227871749644213334e-01 1.708904162619007041e-03 1.000000000000000000e+00 9.999977110905078348e-01 -1.418710168537460570e+00
-1.871168059873308920e+00 3.066448267794671390e-01 2.355938074033259860e-02 1.213508207445311848e-01 1.192930651769115490e-03 1.000000000000000000e+00 1.000010623735420490e+00 -1.948301370700237012e+00
-1.871168059873308920e+00 1.669698895408330497e+00 2.355938147193279916e-02 5.932666722486206190e-01 1.192911624934679584e-03 1.000000000000000000e+00 1.000006653143068469e+00 -1.948353645415828117e+00
-1.871168059873308920e+00 3.976016459578080586e-01 4.148391184996071818e-02 1.478339933233221992e-01 4.510665052842458347e-04 1.000000000000000000e+00 9.999393335811451733e-01 -1.954208411530280687e+00
-1.871168059873308920e+00 4.042502133754340421e-01 2.355938080392325218e-02 1.171789628982396886e-01 1.192827713222799867e-03 1.000000000000000000e+00 9.999983656459460191e-01 -1.948296404167643381e+00
-1.871168059873308920e+00 1.038544852956104547e+00 4.148391232374044890e-02 3.315809038400323039e-01 4.512670778218802210e-04 1.000000000000000000e+00 9.999697034175074606e-01 -1.954194006541014161e+00
-1.871168059873308920e+00 9.815538979132878428e-01 2.355938058232858595e-02 4.180324941967266117e-01 1.192858286779364995e-03 1.000000000000000000e+00 1.000004030058956106e+00 -1.948288149645067913e+00
-1.871168059873308920e+00 5.369910134398990786e-01 2.355938061207554085e-02 2.352695038034230690e-01 1.192886420659987736e-03 1.000000000000000000e+00 1.000010865113992287e+00 -1.948297003922825787e+00
